iter	Passed	Remaining
826	6928	1449
827	6936	1440
828	6939	1431
829	6947	1423
830	6955	1414
831	6963	1406
832	6972	1397
833	6980	1389
834	6988	1381
835	6997	1372
836	7005	1364
837	7013	1355
838	7022	1347
839	7030	1339
840	7038	1330
841	7046	1322
842	7055	1313
843	7063	1305
844	7073	1297
845	7081	1289
846	7089	1280
847	7097	1272
848	7106	1263
849	7114	1255
850	7123	1247
851	7131	1238
852	7139	1230
853	7147	1221
854	7155	1213
855	7163	1205
856	7171	1196
857	7179	1188
858	7187	1179
859	7196	1171
860	7204	1163
861	7213	1154
862	7221	1146
863	7229	1138
864	7237	1129
865	7245	1121
866	7253	1112
867	7262	1104
868	7270	1095
869	7278	1087
870	7286	1079
871	7295	1070
872	7304	1062
873	7312	1054
874	7319	1045
875	7327	1037
876	7336	1028
877	7340	1019
878	7348	1011
879	7357	1003
880	7365	994
881	7373	986
882	7382	978
883	7390	969
884	7398	961
885	7405	952
886	7413	944
887	7421	936
888	7430	927
889	7437	919
890	7446	910
891	7454	902
892	7462	894
893	7470	885
894	7478	877
895	7486	868
896	7494	860
897	7503	852
898	7512	844
899	7520	835
900	7529	827
901	7537	818
902	7545	810
903	7553	802
904	7561	793
905	7570	785
906	7578	777
907	7586	768
908	7594	760
909	7602	751
910	7610	743
911	7619	735
912	7627	726
913	7636	718
914	7645	710
915	7653	701
916	7661	693
917	7669	685
918	7678	676
919	7686	668
920	7695	660
921	7703	651
922	7711	643
923	7719	634
924	7728	626
925	7736	618
926	7744	609
927	7752	601
928	7760	593
929	7768	584
930	7776	576
931	7784	567
932	7792	559
933	7801	551
934	7809	542
935	7817	534
936	7825	526
937	7833	517
938	7841	509
939	7849	501
940	7857	492
941	7865	484
942	7873	475
943	7881	467
944	7890	459
945	7898	450
946	7906	442
947	7914	434
948	7922	425
949	7930	417
950	7938	409
951	7946	400
952	7955	392
953	7963	383
954	7971	375
955	7979	367
956	7987	358
957	7995	350
958	8003	342
959	8011	333
960	8019	325
961	8028	317
962	8035	308
963	8043	300
964	8051	292
965	8060	283
966	8068	275
967	8076	267
968	8084	258
969	8092	250
970	8100	241
971	8108	233
972	8115	225
973	8124	216
974	8132	208
975	8140	200
976	8148	191
977	8156	183
978	8164	175
979	8166	166
980	8174	158
981	8182	149
982	8190	141
983	8198	133
984	8206	124
985	8214	116
986	8222	108
987	8231	99
988	8239	91
989	8247	83
990	8255	74
991	8263	66
992	8271	58
993	8279	49
994	8287	41
995	8295	33
996	8305	24
997	8313	16
998	8322	8
999	8331	0
